frame,Agent Type,agent number
257,Fox,13
257,Rabbit,60
258,Fox,13
258,Rabbit,60
259,Fox,13
259,Rabbit,60
260,Fox,13
260,Rabbit,61
261,Fox,13
261,Rabbit,61
262,Fox,13
262,Rabbit,61
263,Fox,13
263,Rabbit,61
264,Fox,13
264,Rabbit,61
265,Fox,13
265,Rabbit,61
266,Fox,13
266,Rabbit,61
267,Fox,13
267,Rabbit,61
268,Fox,13
268,Rabbit,61
269,Fox,13
269,Rabbit,61
270,Fox,13
270,Rabbit,61
271,Fox,13
271,Rabbit,61
272,Fox,13
272,Rabbit,61
273,Fox,13
273,Rabbit,61
274,Fox,13
274,Rabbit,62
275,Fox,13
275,Rabbit,62
276,Fox,13
276,Rabbit,62
277,Fox,13
277,Rabbit,63
278,Fox,13
278,Rabbit,63
279,Fox,12
279,Rabbit,63
280,Fox,12
280,Rabbit,63
281,Fox,12
281,Rabbit,64
282,Fox,12
282,Rabbit,64
283,Fox,12
283,Rabbit,64
284,Fox,13
284,Rabbit,63
285,Fox,13
285,Rabbit,63
286,Fox,12
286,Rabbit,63
287,Fox,12
287,Rabbit,63
288,Fox,12
288,Rabbit,63
289,Fox,12
289,Rabbit,63
290,Fox,12
290,Rabbit,63
291,Fox,12
291,Rabbit,63
292,Fox,12
292,Rabbit,63
293,Fox,12
293,Rabbit,63
294,Fox,12
294,Rabbit,64
295,Fox,12
295,Rabbit,64
296,Fox,12
296,Rabbit,64
297,Fox,12
297,Rabbit,64
298,Fox,12
298,Rabbit,64
299,Fox,12
299,Rabbit,64
300,Fox,12
300,Rabbit,64
301,Fox,12
301,Rabbit,65
302,Fox,12
302,Rabbit,65
303,Fox,12
303,Rabbit,66
304,Fox,12
304,Rabbit,66
305,Fox,12
305,Rabbit,67
306,Fox,12
306,Rabbit,67
307,Fox,12
307,Rabbit,67
308,Fox,12
308,Rabbit,67
309,Fox,12
309,Rabbit,68
310,Fox,12
310,Rabbit,68
311,Fox,12
311,Rabbit,69
312,Fox,12
312,Rabbit,70
313,Fox,12
313,Rabbit,70
314,Fox,12
314,Rabbit,70
315,Fox,12
315,Rabbit,70
316,Fox,12
316,Rabbit,70
317,Fox,12
317,Rabbit,70
318,Fox,12
318,Rabbit,70
319,Fox,12
319,Rabbit,70
320,Fox,12
320,Rabbit,71
321,Fox,11
321,Rabbit,71
322,Fox,11
322,Rabbit,71
323,Fox,11
323,Rabbit,71
324,Fox,11
324,Rabbit,71
325,Fox,11
325,Rabbit,71
326,Fox,11
326,Rabbit,71
327,Fox,11
327,Rabbit,71
328,Fox,11
328,Rabbit,72
329,Fox,11
329,Rabbit,73
330,Fox,11
330,Rabbit,74
331,Fox,11
331,Rabbit,75
332,Fox,11
332,Rabbit,75
333,Fox,11
333,Rabbit,76
334,Fox,12
334,Rabbit,75
335,Fox,11
335,Rabbit,76
336,Fox,11
336,Rabbit,77
337,Fox,11
337,Rabbit,77
338,Fox,11
338,Rabbit,77
339,Fox,11
339,Rabbit,77
340,Fox,11
340,Rabbit,77
341,Fox,11
341,Rabbit,77
342,Fox,11
342,Rabbit,77
343,Fox,10
343,Rabbit,77
344,Fox,10
344,Rabbit,77
345,Fox,10
345,Rabbit,77
346,Fox,10
346,Rabbit,77
347,Fox,10
347,Rabbit,77
348,Fox,10
348,Rabbit,77
349,Fox,10
349,Rabbit,77
350,Fox,10
350,Rabbit,77
351,Fox,10
351,Rabbit,78
352,Fox,9
352,Rabbit,78
353,Fox,9
353,Rabbit,78
354,Fox,9
354,Rabbit,78
355,Fox,9
355,Rabbit,79
356,Fox,9
356,Rabbit,80
357,Fox,9
357,Rabbit,80
358,Fox,9
358,Rabbit,81
359,Fox,9
359,Rabbit,81
360,Fox,9
360,Rabbit,81
361,Fox,9
361,Rabbit,81
362,Fox,9
362,Rabbit,81
363,Fox,9
363,Rabbit,81
364,Fox,9
364,Rabbit,81
